Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
118.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,533,0,2024-01-05,2024-01-05
119.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,423,0,2024-01-28,2024-01-28
120.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,879,0,2024-01-15,2024-01-15
121.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,836,0,2024-03-09,2024-03-09
122.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,470,0,2024-02-17,2024-02-17
123.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,420,0,2024-01-29,2024-01-29
124.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,317,0,2024-03-07,2024-03-07
125.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,389,0,2024-03-16,2024-03-16
126.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,664,0,2024-01-30,2024-01-30
127.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,358,0,2024-02-20,2024-02-20
128.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,690,0,2024-04-08,2024-04-08
129.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,357,0,2024-02-21,2024-02-21
130.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,986,0,2024-01-02,2024-01-02
214.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1719,1,2024-01-02,2024-01-03
215.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1753,2,2024-01-24,2024-01-26
216.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1824,2,2024-01-29,2024-01-31
217.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2302,1,2024-02-17,2024-02-18
218.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1971,2,2024-01-02,2024-01-04
219.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1311,2,2024-03-31,2024-04-02
220.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2158,2,2024-03-18,2024-03-20
221.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2018,1,2024-01-07,2024-01-08
222.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2739,1,2024-03-09,2024-03-10
223.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2488,2,2024-02-06,2024-02-08
224.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1546,2,2024-03-16,2024-03-18
225.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1741,1,2024-01-20,2024-01-21
226.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1627,1,2024-03-10,2024-03-11
227.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1998,2,2024-02-14,2024-02-16
228.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1635,2,2024-03-08,2024-03-10
229.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1837,2,2024-01-08,2024-01-10
230.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2557,2,2024-03-28,2024-03-30
231.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2434,1,2024-03-19,2024-03-20
232.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1830,2,2024-01-23,2024-01-25
233.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2541,2,2024-01-21,2024-01-23
234.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1924,2,2024-01-31,2024-02-02
235.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1237,1,2024-02-01,2024-02-02
236.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2270,2,2024-01-03,2024-01-05
237.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2152,1,2024-04-05,2024-04-06
238.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1727,1,2024-01-30,2024-01-31
239.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1332,2,2024-01-08,2024-01-10
240.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2829,2,2024-02-10,2024-02-12
241.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1597,1,2024-02-01,2024-02-02
242.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1461,2,2024-03-08,2024-03-10
243.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1337,1,2024-01-05,2024-01-06
244.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1532,2,2024-02-11,2024-02-13
245.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1450,2,2024-02-21,2024-02-23
246.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2217,2,2024-04-02,2024-04-04
247.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2465,1,2024-01-18,2024-01-19
248.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2214,2,2024-02-25,2024-02-27
249.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1140,1,2024-01-01,2024-01-02
250.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1176,1,2024-02-06,2024-02-07
251.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1332,1,2024-03-24,2024-03-25
252.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1672,1,2024-03-26,2024-03-27
253.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1101,1,2024-01-14,2024-01-15
254.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2078,1,2024-04-02,2024-04-03
255.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2966,2,2024-03-26,2024-03-28
066.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,806,0,2024-01-02,2024-01-02
067.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,860,0,2024-01-23,2024-01-23
068.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,868,0,2024-01-09,2024-01-09
069.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,758,0,2024-01-03,2024-01-03
070.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,374,0,2024-02-20,2024-02-20
071.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,422,0,2024-02-25,2024-02-25
072.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,505,0,2024-03-12,2024-03-12
073.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,669,0,2024-02-24,2024-02-24
074.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,592,0,2024-03-13,2024-03-13
075.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,425,0,2024-02-02,2024-02-02
076.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,824,0,2024-03-24,2024-03-24
077.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,661,0,2024-01-19,2024-01-19
078.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,619,0,2024-01-19,2024-01-19
079.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,951,0,2024-02-19,2024-02-19
080.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,697,0,2024-02-14,2024-02-14
081.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,665,0,2024-02-16,2024-02-16
082.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,718,0,2024-02-28,2024-02-28
083.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,545,0,2024-02-10,2024-02-10
084.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,704,0,2024-02-07,2024-02-07
085.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,809,0,2024-02-03,2024-02-03
086.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,376,0,2024-01-29,2024-01-29
087.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,836,0,2024-02-07,2024-02-07
088.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,731,0,2024-01-27,2024-01-27
089.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,610,0,2024-03-10,2024-03-10
090.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,544,0,2024-02-25,2024-02-25
091.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,604,0,2024-01-16,2024-01-16
092.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,457,0,2024-01-07,2024-01-07
093.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,402,0,2024-02-17,2024-02-17
094.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,790,0,2024-02-25,2024-02-25
095.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,431,0,2024-03-07,2024-03-07
096.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,848,0,2024-02-11,2024-02-11
173.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1317,2,2024-01-19,2024-01-21
174.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2142,1,2024-04-03,2024-04-04
175.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2085,1,2024-01-09,2024-01-10
176.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1826,1,2024-02-22,2024-02-23
177.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1258,1,2024-04-03,2024-04-04
178.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2153,1,2024-04-06,2024-04-07
179.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1931,1,2024-03-17,2024-03-18
180.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2366,2,2024-01-06,2024-01-08
181.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1112,2,2024-03-15,2024-03-17
182.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1943,2,2024-03-14,2024-03-16
183.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1976,1,2024-03-18,2024-03-19
184.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2272,2,2024-03-01,2024-03-03
185.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1066,1,2024-02-14,2024-02-15
186.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2164,2,2024-03-25,2024-03-27
187.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2458,2,2024-02-24,2024-02-26
188.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1122,2,2024-04-10,2024-04-12
189.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2240,1,2024-02-12,2024-02-13
190.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1814,2,2024-02-09,2024-02-11
191.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1813,2,2024-04-07,2024-04-09
192.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1815,1,2024-02-12,2024-02-13
193.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2450,1,2024-02-15,2024-02-16
194.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2521,2,2024-03-16,2024-03-18
195.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1371,2,2024-02-08,2024-02-10
196.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2170,2,2024-02-16,2024-02-18
197.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2300,1,2024-03-13,2024-03-14
198.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2176,2,2024-03-29,2024-03-31
199.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1657,2,2024-02-14,2024-02-16
200.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1469,2,2024-02-27,2024-02-29
201.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1077,2,2024-02-11,2024-02-13
202.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2546,1,2024-01-06,2024-01-07
203.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1869,2,2024-02-20,2024-02-22
204.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2284,2,2024-03-27,2024-03-29
205.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2674,2,2024-03-11,2024-03-13
206.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2508,1,2024-04-09,2024-04-10
207.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2252,1,2024-02-04,2024-02-05
208.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1092,2,2024-04-03,2024-04-05
209.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1570,1,2024-03-22,2024-03-23
210.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1540,1,2024-01-26,2024-01-27
032.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,879,0,2024-04-02,2024-04-02
033.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,693,0,2024-02-15,2024-02-15
034.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,890,0,2024-02-17,2024-02-17
035.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,935,0,2024-02-20,2024-02-20
036.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,429,0,2024-01-19,2024-01-19
037.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,796,0,2024-02-14,2024-02-14
038.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,613,0,2024-01-01,2024-01-01
039.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,796,0,2024-01-15,2024-01-15
040.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,788,0,2024-01-20,2024-01-20
041.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,883,0,2024-01-01,2024-01-01
042.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,442,0,2024-04-05,2024-04-05
043.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,739,0,2024-01-08,2024-01-08
044.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,959,0,2024-03-10,2024-03-10
045.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,638,0,2024-01-09,2024-01-09
046.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,568,0,2024-02-26,2024-02-26
047.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,894,0,2024-01-30,2024-01-30
048.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,964,0,2024-03-02,2024-03-02
049.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,669,0,2024-04-06,2024-04-06
050.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,333,0,2024-02-11,2024-02-11
051.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,765,0,2024-02-23,2024-02-23
052.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,457,0,2024-03-09,2024-03-09
053.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,449,0,2024-01-18,2024-01-18
054.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,495,0,2024-02-08,2024-02-08
055.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,492,0,2024-01-04,2024-01-04
056.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,616,0,2024-04-06,2024-04-06
057.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,707,0,2024-02-27,2024-02-27
058.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,446,0,2024-02-12,2024-02-12
059.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,740,0,2024-02-11,2024-02-11
060.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,568,0,2024-02-25,2024-02-25
061.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,645,0,2024-01-31,2024-01-31
062.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,798,0,2024-03-03,2024-03-03
063.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,462,0,2024-02-21,2024-02-21
064.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,363,0,2024-03-10,2024-03-10
065.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,308,0,2024-02-17,2024-02-17
133.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2822,1,2024-03-05,2024-03-06
134.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2176,2,2024-02-08,2024-02-10
135.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2339,2,2024-02-23,2024-02-25
136.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2939,2,2024-01-28,2024-01-30
137.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2335,1,2024-01-31,2024-02-01
138.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2723,2,2024-01-16,2024-01-18
139.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2324,2,2024-02-04,2024-02-06
140.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1547,2,2024-03-27,2024-03-29
141.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2486,1,2024-01-02,2024-01-03
142.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2274,2,2024-01-21,2024-01-23
143.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2313,1,2024-03-27,2024-03-28
144.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1534,1,2024-01-25,2024-01-26
145.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2080,2,2024-02-05,2024-02-07
146.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2026,1,2024-02-01,2024-02-02
147.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1695,2,2024-02-10,2024-02-12
148.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1076,2,2024-01-09,2024-01-11
149.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2846,1,2024-02-18,2024-02-19
150.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2778,1,2024-03-11,2024-03-12
151.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2359,2,2024-02-11,2024-02-13
152.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1256,2,2024-01-14,2024-01-16
153.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2875,1,2024-01-12,2024-01-13
154.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1640,2,2024-03-28,2024-03-30
155.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1970,2,2024-01-01,2024-01-03
156.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2189,2,2024-03-03,2024-03-05
157.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1606,2,2024-04-05,2024-04-07
158.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2537,1,2024-04-03,2024-04-04
159.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2413,2,2024-03-14,2024-03-16
160.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2887,2,2024-01-14,2024-01-16
161.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1693,1,2024-01-08,2024-01-09
162.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1028,2,2024-02-13,2024-02-15
163.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2752,1,2024-01-13,2024-01-14
164.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2075,2,2024-02-05,2024-02-07
165.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2536,1,2024-02-19,2024-02-20
166.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2745,1,2024-03-27,2024-03-28
167.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2644,1,2024-02-22,2024-02-23
168.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2007,2,2024-02-24,2024-02-26
169.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1945,2,2024-02-23,2024-02-25
256.bmp,A50,Stator fault,50,Component Replacement,Resolved,6823,3,2024-02-06,2024-02-09
257.bmp,A50,Stator fault,50,Component Replacement,Resolved,3863,3,2024-03-24,2024-03-27
258.bmp,A50,Stator fault,50,Component Replacement,Resolved,7269,1,2024-04-01,2024-04-02
259.bmp,A50,Stator fault,50,Component Replacement,Resolved,5748,3,2024-03-16,2024-03-19
260.bmp,A50,Stator fault,50,Component Replacement,Resolved,6555,3,2024-03-28,2024-03-31
261.bmp,A50,Stator fault,50,Component Replacement,Resolved,7750,2,2024-03-05,2024-03-07
262.bmp,A50,Stator fault,50,Component Replacement,Resolved,6057,2,2024-03-31,2024-04-02
263.bmp,A50,Stator fault,50,Component Replacement,Resolved,6782,3,2024-04-02,2024-04-05
264.bmp,A50,Stator fault,50,Component Replacement,Resolved,7384,1,2024-01-26,2024-01-27
265.bmp,A50,Stator fault,50,Component Replacement,Resolved,4006,1,2024-03-09,2024-03-10
266.bmp,A50,Stator fault,50,Component Replacement,Resolved,5625,2,2024-01-15,2024-01-17
267.bmp,A50,Stator fault,50,Component Replacement,Resolved,4007,3,2024-01-30,2024-02-02
268.bmp,A50,Stator fault,50,Component Replacement,Resolved,4424,3,2024-04-03,2024-04-06
269.bmp,A50,Stator fault,50,Component Replacement,Resolved,6964,3,2024-02-17,2024-02-20
270.bmp,A50,Stator fault,50,Component Replacement,Resolved,3517,3,2024-01-25,2024-01-28
271.bmp,A50,Stator fault,50,Component Replacement,Resolved,7143,1,2024-02-14,2024-02-15
272.bmp,A50,Stator fault,50,Component Replacement,Resolved,5116,3,2024-01-19,2024-01-22
273.bmp,A50,Stator fault,50,Component Replacement,Resolved,5274,1,2024-02-04,2024-02-05
