Image_Name,Folder,Fault_Type,Severity,ActionTaken,ResolutionStatus,Cost,Downtime_Days,RepairStartDate,RepairEndDate
130.bmp,A&C&B10,Stator fault,10,Scheduled Inspection,Resolved,874,0,2024-02-03,2024-02-03
214.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2182,2,2024-03-21,2024-03-23
215.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2221,1,2024-02-20,2024-02-21
216.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2582,2,2024-01-08,2024-01-10
217.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1531,2,2024-03-07,2024-03-09
218.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1248,1,2024-03-12,2024-03-13
219.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1396,1,2024-04-06,2024-04-07
220.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1265,1,2024-02-02,2024-02-03
221.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2739,2,2024-03-23,2024-03-25
222.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1358,1,2024-01-06,2024-01-07
223.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2125,1,2024-04-10,2024-04-11
224.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2985,2,2024-01-10,2024-01-12
225.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2162,1,2024-02-17,2024-02-18
226.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1991,2,2024-01-10,2024-01-12
227.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2788,2,2024-01-02,2024-01-04
228.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1052,2,2024-03-26,2024-03-28
229.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2632,2,2024-01-21,2024-01-23
230.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1787,1,2024-02-10,2024-02-11
231.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2527,2,2024-01-16,2024-01-18
232.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2993,1,2024-02-21,2024-02-22
233.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1925,2,2024-03-06,2024-03-08
234.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2037,2,2024-02-28,2024-03-01
235.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1337,2,2024-01-15,2024-01-17
236.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1391,1,2024-03-10,2024-03-11
237.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2298,2,2024-04-08,2024-04-10
238.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1344,2,2024-04-01,2024-04-03
239.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2864,1,2024-01-18,2024-01-19
240.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1543,1,2024-02-15,2024-02-16
241.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2558,2,2024-03-17,2024-03-19
242.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2831,1,2024-03-30,2024-03-31
243.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1684,1,2024-04-04,2024-04-05
244.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2107,1,2024-03-14,2024-03-15
245.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2993,1,2024-02-22,2024-02-23
246.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2162,2,2024-02-27,2024-02-29
247.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2832,1,2024-02-08,2024-02-09
248.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2254,1,2024-01-20,2024-01-21
249.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2203,1,2024-01-15,2024-01-16
250.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2039,2,2024-03-17,2024-03-19
251.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1794,2,2024-01-07,2024-01-09
252.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1351,1,2024-02-03,2024-02-04
253.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1873,1,2024-02-02,2024-02-03
254.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,2434,1,2024-01-11,2024-01-12
255.bmp,A&C&B30,Stator fault,30,Repair + Calibration,Resolved,1371,1,2024-01-02,2024-01-03
066.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,968,0,2024-02-07,2024-02-07
067.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,361,0,2024-01-27,2024-01-27
068.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,846,0,2024-03-19,2024-03-19
069.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,623,0,2024-03-25,2024-03-25
070.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,867,0,2024-02-05,2024-02-05
071.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,326,0,2024-01-04,2024-01-04
072.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,488,0,2024-01-07,2024-01-07
073.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,394,0,2024-02-26,2024-02-26
074.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,815,0,2024-03-10,2024-03-10
075.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,351,0,2024-01-20,2024-01-20
076.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,745,0,2024-02-18,2024-02-18
077.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,981,0,2024-01-09,2024-01-09
078.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,343,0,2024-02-04,2024-02-04
079.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,471,0,2024-03-11,2024-03-11
080.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,608,0,2024-04-09,2024-04-09
081.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,375,0,2024-02-26,2024-02-26
082.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,727,0,2024-03-29,2024-03-29
083.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,535,0,2024-01-15,2024-01-15
084.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,321,0,2024-03-21,2024-03-21
085.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,581,0,2024-03-10,2024-03-10
086.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,719,0,2024-03-06,2024-03-06
087.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,404,0,2024-02-08,2024-02-08
088.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,724,0,2024-03-21,2024-03-21
089.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,746,0,2024-03-16,2024-03-16
090.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,794,0,2024-03-30,2024-03-30
091.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,767,0,2024-01-08,2024-01-08
092.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,818,0,2024-03-26,2024-03-26
093.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,414,0,2024-01-26,2024-01-26
094.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,835,0,2024-02-21,2024-02-21
095.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,902,0,2024-02-14,2024-02-14
096.bmp,A&C10,Stator fault,10,Scheduled Inspection,Resolved,865,0,2024-03-03,2024-03-03
173.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2063,2,2024-01-21,2024-01-23
174.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1789,2,2024-04-09,2024-04-11
175.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1158,2,2024-01-29,2024-01-31
176.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1495,2,2024-03-02,2024-03-04
177.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2998,1,2024-01-20,2024-01-21
178.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2436,1,2024-01-17,2024-01-18
179.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1111,1,2024-01-12,2024-01-13
180.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1335,1,2024-04-03,2024-04-04
181.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2894,1,2024-02-15,2024-02-16
182.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1054,1,2024-01-04,2024-01-05
183.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1471,2,2024-04-10,2024-04-12
184.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1993,1,2024-02-04,2024-02-05
185.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1796,2,2024-02-21,2024-02-23
186.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2425,2,2024-03-19,2024-03-21
187.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1256,2,2024-02-23,2024-02-25
188.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1490,1,2024-01-02,2024-01-03
189.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2624,1,2024-01-02,2024-01-03
190.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1630,2,2024-01-14,2024-01-16
191.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1119,2,2024-01-11,2024-01-13
192.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2168,2,2024-02-27,2024-02-29
193.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2947,1,2024-03-29,2024-03-30
194.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1694,1,2024-01-24,2024-01-25
195.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2709,2,2024-03-03,2024-03-05
196.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1178,2,2024-01-24,2024-01-26
197.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2954,1,2024-04-05,2024-04-06
198.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1776,2,2024-02-10,2024-02-12
199.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1704,2,2024-03-10,2024-03-12
200.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1610,1,2024-02-13,2024-02-14
201.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1049,2,2024-03-03,2024-03-05
202.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1883,2,2024-02-25,2024-02-27
203.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2316,2,2024-03-08,2024-03-10
204.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2754,2,2024-04-10,2024-04-12
205.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2978,2,2024-02-22,2024-02-24
206.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1966,1,2024-02-06,2024-02-07
207.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1981,1,2024-02-14,2024-02-15
208.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,2786,1,2024-03-27,2024-03-28
209.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1037,2,2024-03-04,2024-03-06
210.bmp,A&C30,Stator fault,30,Repair + Calibration,Resolved,1385,2,2024-01-12,2024-01-14
032.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,554,0,2024-02-08,2024-02-08
033.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,590,0,2024-03-29,2024-03-29
034.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,678,0,2024-03-02,2024-03-02
035.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,595,0,2024-01-29,2024-01-29
036.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,795,0,2024-04-02,2024-04-02
037.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,745,0,2024-02-29,2024-02-29
038.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,551,0,2024-02-06,2024-02-06
039.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,663,0,2024-03-13,2024-03-13
040.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,467,0,2024-03-25,2024-03-25
041.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,868,0,2024-03-05,2024-03-05
042.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,780,0,2024-03-01,2024-03-01
043.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,885,0,2024-01-05,2024-01-05
044.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,595,0,2024-03-23,2024-03-23
045.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,550,0,2024-02-25,2024-02-25
046.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,337,0,2024-01-09,2024-01-09
047.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,671,0,2024-01-09,2024-01-09
048.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,373,0,2024-01-06,2024-01-06
049.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,817,0,2024-02-28,2024-02-28
050.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,820,0,2024-03-23,2024-03-23
051.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,768,0,2024-03-11,2024-03-11
052.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,593,0,2024-01-23,2024-01-23
053.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,754,0,2024-01-08,2024-01-08
054.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,623,0,2024-01-22,2024-01-22
055.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,497,0,2024-03-18,2024-03-18
056.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,354,0,2024-01-02,2024-01-02
057.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,504,0,2024-03-04,2024-03-04
058.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,862,0,2024-03-14,2024-03-14
059.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,446,0,2024-01-09,2024-01-09
060.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,571,0,2024-02-04,2024-02-04
061.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,919,0,2024-03-07,2024-03-07
062.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,644,0,2024-02-27,2024-02-27
063.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,725,0,2024-03-23,2024-03-23
064.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,528,0,2024-01-09,2024-01-09
065.bmp,A10,Stator fault,10,Scheduled Inspection,Resolved,771,0,2024-02-04,2024-02-04
133.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2964,2,2024-02-27,2024-02-29
134.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2691,1,2024-01-14,2024-01-15
135.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2705,1,2024-03-22,2024-03-23
136.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1339,1,2024-02-07,2024-02-08
137.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2763,1,2024-01-25,2024-01-26
138.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2099,1,2024-03-31,2024-04-01
139.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2835,2,2024-02-23,2024-02-25
140.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2630,2,2024-03-09,2024-03-11
141.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1013,1,2024-03-01,2024-03-02
142.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1082,2,2024-03-29,2024-03-31
143.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2378,1,2024-01-15,2024-01-16
144.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1546,1,2024-02-04,2024-02-05
145.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1799,1,2024-01-26,2024-01-27
146.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1338,2,2024-02-13,2024-02-15
147.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1514,1,2024-01-24,2024-01-25
148.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1648,1,2024-03-25,2024-03-26
149.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1118,2,2024-03-19,2024-03-21
150.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2399,1,2024-02-13,2024-02-14
151.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1133,1,2024-03-17,2024-03-18
152.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2877,2,2024-03-01,2024-03-03
153.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2900,1,2024-04-03,2024-04-04
154.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2340,1,2024-04-05,2024-04-06
155.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1240,2,2024-01-10,2024-01-12
156.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1740,2,2024-04-01,2024-04-03
157.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2085,2,2024-01-30,2024-02-01
158.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2967,1,2024-03-07,2024-03-08
159.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2477,1,2024-04-02,2024-04-03
160.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2274,1,2024-01-29,2024-01-30
161.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1299,2,2024-02-28,2024-03-01
162.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2035,1,2024-02-14,2024-02-15
163.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1460,2,2024-01-06,2024-01-08
164.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2500,1,2024-03-28,2024-03-29
165.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1990,2,2024-04-02,2024-04-04
166.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,2950,2,2024-03-30,2024-04-01
167.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1889,1,2024-02-26,2024-02-27
168.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1846,2,2024-02-09,2024-02-11
169.bmp,A30,Stator fault,30,Repair + Calibration,Resolved,1628,1,2024-01-10,2024-01-11
256.bmp,A50,Stator fault,50,Component Replacement,Resolved,4020,3,2024-03-01,2024-03-04
257.bmp,A50,Stator fault,50,Component Replacement,Resolved,5722,1,2024-02-20,2024-02-21
258.bmp,A50,Stator fault,50,Component Replacement,Resolved,3903,1,2024-01-18,2024-01-19
259.bmp,A50,Stator fault,50,Component Replacement,Resolved,6144,3,2024-04-09,2024-04-12
260.bmp,A50,Stator fault,50,Component Replacement,Resolved,3774,2,2024-01-30,2024-02-01
261.bmp,A50,Stator fault,50,Component Replacement,Resolved,6110,1,2024-03-13,2024-03-14
262.bmp,A50,Stator fault,50,Component Replacement,Resolved,3897,1,2024-01-24,2024-01-25
263.bmp,A50,Stator fault,50,Component Replacement,Resolved,6962,1,2024-03-29,2024-03-30
264.bmp,A50,Stator fault,50,Component Replacement,Resolved,7339,1,2024-03-11,2024-03-12
265.bmp,A50,Stator fault,50,Component Replacement,Resolved,4341,2,2024-03-26,2024-03-28
266.bmp,A50,Stator fault,50,Component Replacement,Resolved,5468,2,2024-03-02,2024-03-04
267.bmp,A50,Stator fault,50,Component Replacement,Resolved,3939,3,2024-03-11,2024-03-14
268.bmp,A50,Stator fault,50,Component Replacement,Resolved,3295,2,2024-02-17,2024-02-19
269.bmp,A50,Stator fault,50,Component Replacement,Resolved,3574,3,2024-04-05,2024-04-08
270.bmp,A50,Stator fault,50,Component Replacement,Resolved,5083,2,2024-01-25,2024-01-27
271.bmp,A50,Stator fault,50,Component Replacement,Resolved,5545,2,2024-01-08,2024-01-10
272.bmp,A50,Stator fault,50,Component Replacement,Resolved,5593,1,2024-03-05,2024-03-06
273.bmp,A50,Stator fault,50,Component Replacement,Resolved,7404,3,2024-04-04,2024-04-07
